phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0716.5: La à gogo la serviroye,","DC0716: En ce verd moys, temps opportun",S,,B-flat,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0716.2: Pour prendre plaisir je vouldroye,","DC0716: En ce verd moys, temps opportun",S,,D,T,Authentic,D,G,Plagal,Authentic,G
"DC0716.1: En ce verd moys temps opportun,","DC0716: En ce verd moys, temps opportun",None,,D,None,Plagal,None,D,None,Authentic,G
DC0712.8: Pourveu me sentz d'une amye trop saige.,DC0712: Si je cognois que l'on ayme m'amye,S,,G,T,Authentic,D,None,Phrygian,None,G
"DC0712.7: Devant fauldroit qu'il ny eust Dieu, ny loy,",DC0712: Si je cognois que l'on ayme m'amye,T,Displaced,D,B,Phrygian,D,D,Authentic,Phrygian,G
"DC0712.6: Pour en doubter, sus donc fascheux presaige.",DC0712: Si je cognois que l'on ayme m'amye,S,Displaced,D,Ct,Authentic,D,D,Authentic,Phrygian,G
"DC0712.5: Trop m'est congneu, et son cœur, et sa foy,",DC0712: Si je cognois que l'on ayme m'amye,S,,D,T,Authentic,G,D,Authentic,Authentic,G
"DC0712.2: Et que chascun la vueille avoir pour soy,",DC0712: Si je cognois que l'on ayme m'amye,S,,A,T,Phrygian,D,G,Phrygian,Authentic,G
"DC0712.1: Si je cognois que l'on ayme m'amye,",DC0712: Si je cognois que l'on ayme m'amye,Ct,Displaced,D,B,Phrygian,None,A,None,Phrygian,G
DC0710.10: En ce pais tout est en pleur.,DC0710: Quelqu'un me disoit l'aultre jour,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0710.9: Je luy respondz m'amye absente,",DC0710: Quelqu'un me disoit l'aultre jour,None,,D,None,Plagal,A,G,Phrygian,Authentic,G
"DC0710.8: Il semble brief que tout lamente,",DC0710: Quelqu'un me disoit l'aultre jour,None,,G,None,Plagal,G,G,Plagal,Authentic,G
